device_id,session_id,timestamp,label,confidence,track_id,track_status,x_min,y_min,x_max,y_max,lens_position,iso_sensitivity,exposure_time,filename
insdet-cam01,1,2026-04-16T18:38:36.943605,insect,0.88,2,TRACKED,0.6225,0.6717,0.6786,0.7859,156,368,30.0,insdet-cam01_2026-04-16_18-38-36-943605.jpg
insdet-cam01,1,2026-04-16T18:38:36.943605,insect,0.94,3,TRACKED,0.7083,0.3374,0.7797,0.4733,156,368,30.0,insdet-cam01_2026-04-16_18-38-36-943605.jpg
insdet-cam01,1,2026-04-16T18:38:36.943605,insect,0.9,4,TRACKED,0.1766,0.1288,0.2559,0.2686,156,368,30.0,insdet-cam01_2026-04-16_18-38-36-943605.jpg
insdet-cam01,1,2026-04-16T18:38:36.943605,insect,0.85,6,TRACKED,0.2676,0.6398,0.3202,0.7403,156,368,30.0,insdet-cam01_2026-04-16_18-38-36-943605.jpg
insdet-cam01,1,2026-04-16T18:38:39.077759,insect,0.92,1,TRACKED,0.4563,0.1677,0.5394,0.281,156,133,30.0,insdet-cam01_2026-04-16_18-38-39-077759.jpg
insdet-cam01,1,2026-04-16T18:38:39.077759,insect,0.9,2,TRACKED,0.6221,0.6715,0.6786,0.7859,156,133,30.0,insdet-cam01_2026-04-16_18-38-39-077759.jpg
insdet-cam01,1,2026-04-16T18:38:39.077759,insect,0.94,3,TRACKED,0.708,0.3371,0.7798,0.4751,156,133,30.0,insdet-cam01_2026-04-16_18-38-39-077759.jpg
insdet-cam01,1,2026-04-16T18:38:39.077759,insect,0.91,4,TRACKED,0.1769,0.1315,0.2637,0.2685,156,133,30.0,insdet-cam01_2026-04-16_18-38-39-077759.jpg
insdet-cam01,1,2026-04-16T18:38:39.077759,insect,0.84,6,TRACKED,0.2662,0.6396,0.3204,0.7407,156,133,30.0,insdet-cam01_2026-04-16_18-38-39-077759.jpg
insdet-cam01,1,2026-04-16T18:38:41.142032,insect,0.93,1,TRACKED,0.4563,0.1674,0.5419,0.2822,156,109,30.0,insdet-cam01_2026-04-16_18-38-41-142032.jpg
insdet-cam01,1,2026-04-16T18:38:41.142032,insect,0.9,2,TRACKED,0.6225,0.6732,0.678,0.7857,156,109,30.0,insdet-cam01_2026-04-16_18-38-41-142032.jpg
insdet-cam01,1,2026-04-16T18:38:41.142032,insect,0.94,3,TRACKED,0.7112,0.3371,0.7812,0.4805,156,109,30.0,insdet-cam01_2026-04-16_18-38-41-142032.jpg
insdet-cam01,1,2026-04-16T18:38:41.142032,insect,0.92,4,TRACKED,0.176,0.1302,0.2631,0.2693,156,109,30.0,insdet-cam01_2026-04-16_18-38-41-142032.jpg
insdet-cam01,1,2026-04-16T18:38:41.142032,insect,0.9,6,TRACKED,0.2666,0.6401,0.3205,0.7416,156,109,30.0,insdet-cam01_2026-04-16_18-38-41-142032.jpg
insdet-cam01,1,2026-04-16T18:38:43.256121,insect,0.92,1,TRACKED,0.457,0.1672,0.5414,0.282,156,109,30.0,insdet-cam01_2026-04-16_18-38-43-256121.jpg
insdet-cam01,1,2026-04-16T18:38:43.256121,insect,0.91,2,TRACKED,0.6221,0.6722,0.6782,0.786,156,109,30.0,insdet-cam01_2026-04-16_18-38-43-256121.jpg
insdet-cam01,1,2026-04-16T18:38:43.256121,insect,0.94,3,TRACKED,0.7138,0.3369,0.7806,0.4816,156,109,30.0,insdet-cam01_2026-04-16_18-38-43-256121.jpg
insdet-cam01,1,2026-04-16T18:38:43.256121,insect,0.92,4,TRACKED,0.1757,0.131,0.2629,0.2686,156,109,30.0,insdet-cam01_2026-04-16_18-38-43-256121.jpg
insdet-cam01,1,2026-04-16T18:38:43.256121,insect,0.92,6,TRACKED,0.2664,0.6402,0.3202,0.7412,156,109,30.0,insdet-cam01_2026-04-16_18-38-43-256121.jpg
insdet-cam01,1,2026-04-16T18:38:45.317673,insect,0.92,1,TRACKED,0.4566,0.1673,0.5417,0.282,156,109,30.0,insdet-cam01_2026-04-16_18-38-45-317673.jpg
insdet-cam01,1,2026-04-16T18:38:45.317673,insect,0.91,2,TRACKED,0.6223,0.6723,0.6784,0.7861,156,109,30.0,insdet-cam01_2026-04-16_18-38-45-317673.jpg
insdet-cam01,1,2026-04-16T18:38:45.317673,insect,0.94,3,TRACKED,0.7112,0.3362,0.7802,0.4772,156,109,30.0,insdet-cam01_2026-04-16_18-38-45-317673.jpg
insdet-cam01,1,2026-04-16T18:38:45.317673,insect,0.92,4,TRACKED,0.177,0.1301,0.2679,0.2702,156,109,30.0,insdet-cam01_2026-04-16_18-38-45-317673.jpg
insdet-cam01,1,2026-04-16T18:38:45.317673,insect,0.9,6,TRACKED,0.2666,0.64,0.3204,0.7412,156,109,30.0,insdet-cam01_2026-04-16_18-38-45-317673.jpg
insdet-cam01,1,2026-04-16T18:38:47.380626,insect,0.92,1,TRACKED,0.4568,0.1673,0.5419,0.2809,156,109,30.0,insdet-cam01_2026-04-16_18-38-47-380626.jpg
insdet-cam01,1,2026-04-16T18:38:47.380626,insect,0.91,2,TRACKED,0.6216,0.6725,0.6782,0.7865,156,109,30.0,insdet-cam01_2026-04-16_18-38-47-380626.jpg
insdet-cam01,1,2026-04-16T18:38:47.380626,insect,0.94,3,TRACKED,0.7116,0.3378,0.7804,0.4792,156,109,30.0,insdet-cam01_2026-04-16_18-38-47-380626.jpg
insdet-cam01,1,2026-04-16T18:38:47.380626,insect,0.93,4,TRACKED,0.1763,0.129,0.2681,0.2705,156,109,30.0,insdet-cam01_2026-04-16_18-38-47-380626.jpg
insdet-cam01,1,2026-04-16T18:38:47.380626,insect,0.92,6,TRACKED,0.2666,0.6401,0.3207,0.7411,156,109,30.0,insdet-cam01_2026-04-16_18-38-47-380626.jpg
insdet-cam01,1,2026-04-16T18:38:49.494748,insect,0.93,1,TRACKED,0.4577,0.1682,0.5418,0.2807,156,109,30.0,insdet-cam01_2026-04-16_18-38-49-494748.jpg
insdet-cam01,1,2026-04-16T18:38:49.494748,insect,0.91,2,TRACKED,0.6224,0.6717,0.6781,0.7859,156,109,30.0,insdet-cam01_2026-04-16_18-38-49-494748.jpg
insdet-cam01,1,2026-04-16T18:38:49.494748,insect,0.94,3,TRACKED,0.7132,0.3367,0.7805,0.4754,156,109,30.0,insdet-cam01_2026-04-16_18-38-49-494748.jpg
insdet-cam01,1,2026-04-16T18:38:49.494748,insect,0.91,4,TRACKED,0.1763,0.131,0.2624,0.2692,156,109,30.0,insdet-cam01_2026-04-16_18-38-49-494748.jpg
insdet-cam01,1,2026-04-16T18:38:49.494748,insect,0.87,6,TRACKED,0.267,0.6394,0.3209,0.7418,156,109,30.0,insdet-cam01_2026-04-16_18-38-49-494748.jpg
insdet-cam01,1,2026-04-16T18:38:51.705309,insect,0.93,1,TRACKED,0.4568,0.1671,0.5406,0.2817,156,109,30.0,insdet-cam01_2026-04-16_18-38-51-705309.jpg
insdet-cam01,1,2026-04-16T18:38:51.705309,insect,0.9,2,TRACKED,0.622,0.6717,0.6782,0.7855,156,109,30.0,insdet-cam01_2026-04-16_18-38-51-705309.jpg
insdet-cam01,1,2026-04-16T18:38:51.705309,insect,0.95,3,TRACKED,0.7146,0.3373,0.7801,0.473,156,109,30.0,insdet-cam01_2026-04-16_18-38-51-705309.jpg
